Ticker
AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
META
BRK-B
UNH
JPM
V
JNJ
XOM
PG
MA
AVGO
HD
CVX
LLY
MRK
PEP
ABBV
COST
KO
BAC
ADBE
WMT
CRM
PFE
ORCL
TMO
DIS
ABT
ACN
DHR
CSCO
NKE
VZ
MCD
INTC
NEE
LIN
TXN
AMGN
WFC
UPS
PM
BMY
MS
UNP
QCOM
RTX
HON
SCHW
IBM
LOW
AMD
AMAT
SPGI
PLD
INTU
GS
CAT
ISRG
BLK
SYK
GE
MDT
T
AXP
CI
ADP
NOW
DE
ZTS
CB
BA
MO
VRTX
PGR
LMT
SO
ADI
ELV
MMC
ADI
TJX
MDLZ
C
USB
GILD
HCA
PNC
BSX
REGN
FI
DUK
GM
F
BKNG
ECL
CSX
AON
EW
FDX
BDX
EMR
MNST
ETN
ADSK
SRE
AEP
COF
KLAC
AIG
ILMN
ROST
BIIB
HUM
SHW
IDXX
KMB
HPQ
MAR
ORLY
SPG
DAL
HPE
PSX
CTSH
STZ
PCAR
KMI
TEL
MCO
WBA
MTD
EA
WELL
D
PRU
YUM
TT
BKR
FISV
RCL
LYB
KEY
DFS
VLO
ALL
HAL
NUE
DG
FAST
PAYX
CNC
CDNS
OTIS
DOW
WMB
AFL
DLR
IQV
NEM
TSCO
ODFL
CPRT
CTAS
MPWR
CHTR
EBAY
FTNT
WAT
ANSS
MCK
HES
MLM
MTCH
TRGP
PKI
GLW
AKAM
TTWO
VRSK
GNRC
CE
FLT
ZBRA
EXR
LDOS
FTV
GRMN
FMC
TER
WRB
LNT
ENPH
CF
VTR
IP
NVR
ALB
CTLT
BAX
BXP
CINF
XRAY
IVZ
JKHY
NWSA
PODD
SJM
UAL
MAS
MKTX
STE
ATO
BRO
VFC
NDSN
PNR
KEYS
TAP
RMD
WHR
HRL
ALLE
LKQ
HII
ZION
CHRW
PBCT
BBY
RHI
XRAY
MAS
RE
AOS
HAS
SEE
NI
LW
OGN
FRT
BEN
